roll_call,bill_id,bill_raw,name,bioguide_id,party,state,vote,description,question,,,,,,
19,hr187,H R 187,Hoyle (OR),H001094,D,OR,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Hudson,H001067,R,NC,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Huffman,H001068,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Huizenga,H001058,R,MI,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Hunt,H001095,R,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Hurd (CO),H001100,R,CO,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Issa,I000056,R,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Ivey,I000058,D,MD,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Jack,J000311,R,GA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Jackson (IL),J000309,D,IL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Jackson (TX),J000304,R,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Jacobs,J000305,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,James,J000307,R,MI,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Jayapal,J000298,D,WA,Not Voting,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Jeffries,J000294,D,NY,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Johnson (GA),J000288,D,GA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Johnson (SD),J000301,R,SD,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
